dummy,evals,expr,fitness,length
0,92,1 / ((1 / (0.9928332) / (0.21780044 * log_v_k_nu))),-2.17975,5
0,93,((((-0.30445966) * log_v_k_nu) - (-1.7568586)) - ((-0.32994816) * log_v_k_nu)),-0.06279027,5
0,94,((1.9978248 * log_v_k_nu) - (1.0899948 * log_v_k_nu)),-0.6350845,3
0,95,1 / (0.55611181),-0.06317927,2
0,96,((abs((-0.23957221)) ^ (-0.26153865)) + 0.34487346),-0.063179314,5
0,97,1 / ((abs(1 / (1.6394942)) ^ (0.54451454 * log_v_k_nu))),-0.21662089,5
0,98,1 / (1 / (1.7981999)),-0.06317933,3
0,99,1 / ((1 / ((-2.3256819)) - 1 / ((-1.0141029)))),-0.0631793,6
0,100,((1 / (((-1.1004651) * log_v_k_nu)) - 1.1992161) + 1 / (1.6785043)),-3.4028235e+38,7
0,101,(((1.0837677 - (0.021354305 * log_v_k_nu)) / 1.0773922) / 1 / ((0.60400248 * log_v_k_nu))),-0.9621305,8
0,102,(abs((((-4.2433127e-05) * log_v_k_nu) - (-3.6854835e-05))) ^ 1 / ((-18.050222))),-0.05009313,6
0,103,((((-0.17358819) * log_v_k_nu) + (-0.93562895)) * (1.635271 * log_v_k_nu)),-30.712185,5
0,104,(0.90783036 * log_v_k_nu),-0.6350845,1
0,105,1 / (((-0.18782426) * log_v_k_nu)),-3.4028235e+38,2
0,106,1 / ((1 / (0.9928332) / (0.21780044 * log_v_k_nu))),-2.17975,5
0,107,(abs((1 / (((-0.54904115) * log_v_k_nu)) / 1.1736958)) ^ 1 / (1 / (((-1.0988486) * log_v_k_nu)))),-8.2347145,8
0,108,(((-0.87801117) - 1 / (0.52841949)) / 1 / ((-0.64906472))),-0.06317927,7
0,109,(1 / ((1 / (((-0.5260219) * log_v_k_nu)) * ((-0.18386498) * log_v_k_nu))) - ((-1.5691843) * log_v_k_nu)),-3.4028235e+38,7
0,110,((abs(1 / (0.89353371)) ^ ((-1.1772068) * log_v_k_nu)) + (abs(((-0.98208815) * log_v_k_nu)) ^ ((-0.10177917) * log_v_k_nu))),-0.100664474,8
0,111,(abs(((0.12216322 * log_v_k_nu) * (-0.5645752))) ^ (abs((1.9980707 * log_v_k_nu)) ^ (-1.7864907))),-1.4536359,7
0,112,(1.3112147 / 0.72918224),-0.06317931,3
0,113,(abs((0.66671699 + ((-0.41451582) * log_v_k_nu))) ^ (-0.20760716)),-0.2758381,5
0,114,1 / ((abs(1 / (0.62980866)) ^ (-1.2691803))),-0.06317928,5
0,115,1 / ((1 / ((-0.421561)) / (0.38775972 * log_v_k_nu))),-4.3414984,5
0,116,(1 / (1 / (1.3663191)) + ((0.45485729 * log_v_k_nu) * 1.7461421)),-1.1499951,7
0,117,((1.0837677 - (0.021354305 * log_v_k_nu)) + (0.67309046 - ((-0.046842098) * log_v_k_nu))),-0.062790275,7
0,118,(1 / (6.2831855) * (0.21360241 * log_v_k_nu)),-3.1010914,4
0,119,1 / (((-0.18782426) * log_v_k_nu)),-3.4028235e+38,2
0,120,(abs(((-2.8908389) + 3.3516116)) ^ (-0.75711918)),-0.06317938,5
0,121,(((1.095385 * log_v_k_nu) - (0.021204472 * log_v_k_nu)) / 1 / ((-1.2020493))),-16.252369,6
0,122,(abs((1 / (1.442695) / 1.4434021)) ^ (-0.74904865)),-0.06752453,6
0,123,((2.4672608 - ((-0.8371138) * log_v_k_nu)) - (abs(0.59314138) ^ ((-0.77620029) * log_v_k_nu))),-0.047403336,7
0,124,((0.025488831 * log_v_k_nu) - (-1.756858)),-0.062790275,3
0,125,(0.90783048 * log_v_k_nu),-0.63508445,1
0,126,((0.31035784 * log_v_k_nu) + (0.59747279 * log_v_k_nu)),-0.63508445,3
0,127,(0.97695303 * log_v_k_nu),-0.6505149,1
0,128,1 / (((0.29774892 * log_v_k_nu) * (-0.56453788))),-3.4028235e+38,4
0,129,1 / (1 / (((-0.54904115) * log_v_k_nu))),-7.489628,3
0,130,((1.1498207 - (-1.1808134)) / 1 / (0.77154946)),-0.06317927,6
0,131,1.7981994,-0.06317927,1
0,132,(abs(2.2242246) ^ 0.73402524),-0.06317927,3
0,133,(1.7568583 - ((-0.025488794) * log_v_k_nu)),-0.06279028,3
0,134,(0.90783024 * log_v_k_nu),-0.6350846,1
0,135,1 / (0.55611181),-0.06317927,2
0,136,1 / (((-1.0900759) * (-0.51015866))),-0.0631793,4
0,137,((abs(1 / (((-0.30242184) * log_v_k_nu))) ^ (1.095385 * log_v_k_nu)) - ((0.97695303 * log_v_k_nu) * 1.1579558)),-2.2546506,8
0,138,1 / ((-1523.3807)),-3.2990625,2
0,139,1 / (0.55610752),-0.06317931,2
0,140,((0.34314519 / (-1.3394747)) - (((-1.4833895) * log_v_k_nu) * (-0.46465239))),-10.432317,7
0,141,(abs((1 / (1.0262474) * ((-0.025488794) * log_v_k_nu))) ^ (abs((1.9980707 * log_v_k_nu)) ^ (-1.7864907))),-1.6357123,8
0,142,(1 / (3.1415932) * ((0.08007554 * log_v_k_nu) + 5.5193334)),-0.06279028,6
0,143,(1 / (1 / ((-0.029744389))) * (0.17242688 * (0.95659649 * log_v_k_nu))),-3.3255463,7
0,144,1.7981995,-0.06317927,1
0,145,(1.7568588 - ((-0.025488485) * log_v_k_nu)),-0.062790275,3
0,146,1 / (1 / (1.7981994)),-0.06317929,3
0,147,((1 / ((0.99761528 * log_v_k_nu)) * ((-0.65062267) * log_v_k_nu)) + (abs(((-0.83451575) * log_v_k_nu)) ^ (-0.27895918))),-3.4028235e+38,8
0,148,(1 / (1 / (1.2374749)) * (abs((-0.23957221)) ^ (-0.26153865))),-0.0631793,7
0,149,(abs(1.731784) ^ (0.49032217 * log_v_k_nu)),-0.21662088,3
0,150,(abs(1 / (2.1587148)) ^ ((-0.34987071) * log_v_k_nu)),-0.21662088,4
0,151,1.7981994,-0.06317927,1
0,152,1 / (((abs(0.40898097) ^ (-18.028816)) + (((-0.088135041) * log_v_k_nu) * (-1.5347873)))),-3.2966998,8
0,153,(1 / (0.9928332) / (0.21780044 * log_v_k_nu)),-3.4028235e+38,4
0,154,((1.7715609 * 1 / (1.3663191)) / 1 / (1.3868644)),-0.06317933,7
0,155,1 / ((abs(0.55611181) ^ (0.54451454 * log_v_k_nu))),-0.25085664,4
0,156,(abs((1.243576 - ((-0.0064912643) * log_v_k_nu))) ^ (1 / (0.371209) - 0.10267195)),-0.06281138,8
0,157,((1 / ((0.55966133 * log_v_k_nu)) / 0.61094469) + (abs(1.6207981) ^ ((-0.38443434) * log_v_k_nu))),-3.4028235e+38,8
0,158,((0.75545251 - ((-0.56785589) * log_v_k_nu)) * (1.756858 + ((-0.37498227) * log_v_k_nu))),-0.041373532,7
0,159,((-0.47915715) * (-3.7528386)),-0.06317927,3
0,160,(90.416977 - 88.618736),-0.06317928,3
0,161,1 / ((1 / ((1.6026192 * log_v_k_nu)) / ((-0.2977646) * log_v_k_nu))),-12.700147,5
0,162,(abs(((-0.98208815) * log_v_k_nu)) ^ ((-0.10177917) * log_v_k_nu)),-0.8534813,3
0,163,1 / (0.55610526),-0.0631793,2
0,164,(1 / (((-1.1254051) * log_v_k_nu)) / 1 / (1.3868644)),-3.4028235e+38,5
0,165,(abs((1 / ((0.3083615 * log_v_k_nu)) + (-0.33744842))) ^ (-0.74904865)),-1.3739204,6
0,166,(abs((((-4.2428797e-05) * log_v_k_nu) - (-3.5895577e-05))) ^ 1 / ((-18.028816))),-0.051099855,6
0,167,(1 / (0.43409935) / 1.281064),-0.063179314,4
0,168,(abs((abs((0.41493329 * log_v_k_nu)) ^ ((-0.034339357) * log_v_k_nu))) ^ (((-0.11127334) * log_v_k_nu) + 0.30390239)),-0.69527555,7
0,169,(1 / (1 / ((-0.029744389))) * (((-0.8569299) * log_v_k_nu) + ((-0.32994816) * log_v_k_nu))),-3.0937195,7
0,170,(abs(1 / (2.1587148)) ^ (-2183.9482)),-3.4028235e+38,4
0,171,1 / ((1 / (0.004508581) * 1 / ((-0.90470654)))),-3.3113859,6
0,172,1.7981994,-0.06317927,1
0,173,1 / (((-1.0988486) * log_v_k_nu)),-3.4028235e+38,2
0,174,1 / (0.55610752),-0.06317931,2
0,175,(1.7568583 - ((-0.025488794) * log_v_k_nu)),-0.06279028,3
0,176,1 / (0.55611181),-0.06317927,2
0,177,(1 / (0.63794708) + ((-0.48962721) * (-0.47112066))),-0.06317934,6
0,178,1 / (0.5561102),-0.0631793,2
0,179,(abs(1 / ((0.051953606 * log_v_k_nu))) ^ ((-1.159295) / 0.62126178)),-3.2550464,6
0,180,(((-0.89903396) * log_v_k_nu) / 1 / (((-0.40614188) * log_v_k_nu))),-1.3822418,4
0,181,(abs((((-0.89903396) * log_v_k_nu) / (1.7781352 * log_v_k_nu))) ^ (0.55966133 * log_v_k_nu)),-1.6339233,5
0,182,1 / ((abs((0.60400248 * log_v_k_nu)) ^ (0.54451454 * log_v_k_nu))),-0.8141124,4
0,183,1.7981994,-0.06317927,1
0,184,1.7981994,-0.06317927,1
0,185,(abs((1 / ((-0.052855723)) * ((-0.24005863) * log_v_k_nu))) ^ (0.55966133 * log_v_k_nu)),-956.6705,6
0,186,((1 / ((0.36268049 * log_v_k_nu)) / (-0.5933401)) * (((-0.44970033) * log_v_k_nu) / (-0.40307891))),-3.4028235e+38,8
0,187,((1 / (((-1.1004651) * log_v_k_nu)) - 2.7182817) + ((0.97695303 * log_v_k_nu) * 1.1579558)),-3.4028235e+38,8
0,188,(((-0.44970033) * log_v_k_nu) / (-0.40307891)),-0.7745814,3
0,189,(1 / (1.3663191) + 1.066306),-0.06317927,4
0,190,1 / ((abs(1 / ((-0.20983362))) ^ ((-0.094520561) * log_v_k_nu))),-0.35124493,5
0,191,(abs((1 / (0.36676687) / 1.3797944)) ^ ((0.6853801 * log_v_k_nu) + ((-0.29017383) * log_v_k_nu))),-0.2166209,8
0,192,1 / (1 / (((-0.89690536) * log_v_k_nu))),-11.153812,3
0,193,(1 / ((1.3307172 * log_v_k_nu)) + ((0.45485729 * log_v_k_nu) * 1.7461421)),-3.4028235e+38,6
0,194,((2.4335427 - ((-0.025488704) * log_v_k_nu)) - 1 / (1.4777939)),-0.06279028,6
0,195,((1 / ((-0.81131369)) * ((-0.28003073) * log_v_k_nu)) / ((-1.5340121) * log_v_k_nu)),-3.4028235e+38,6
0,196,((0.025488973 * log_v_k_nu) - (-1.7568586)),-0.06279028,3
0,197,1 / ((-1693.0996)),-3.298825,2
0,198,1.7981995,-0.06317927,1
0,199,(0.90783036 * log_v_k_nu),-0.6350845,1
