generation,individual_index,expression,fitness
1,54,abs((0.7302776987413413) - (x0))**(abs(x0)**(-0.04860433690366579)),-2266.02366950287
1,55,(((x0) + (-0.22432459253690623)) - (-0.32724270130993)) / ((0.8351616539824877) / ((-0.32274277111518246) + (-1.0732604471732505))),-277.69286891652473
1,56,((-1.1154392182524508) - (-0.262697405601763)) * ((x0) / (x0)),-2604.718911783894
1,57,((x0) + (x0)) - (abs(x0)**(x0)),-4011.9613510222766
1,58,((x0) * (-1.0271658773371173)) + (abs(-0.7635180739316558)**(x0)),-2411.8303756540854
1,59,((x0) / (0.5486879824066891)) + (x0),-898.2561036463567
1,60,((abs(x0)**((x0) / (-0.6668067582436952))) * (abs(x0)**(x0))) - (x0),-2394.285307618081
1,61,((x0) + (0.02982696376704199)) + ((-1.3964891164564657) + (x0)),-2646.554085443673
1,62,((x0) / (x0)) - (x0),-2503.30407474859
1,63,((abs(abs(x0)**(x0))**(0.04142171625664365)) * ((x0) * (0.5529412597847361))) + (0.2755599402055571),-1266.6951676785316
1,64,abs(abs((x0) * (-2.0221336695510166))**((x0) / (1.5996426232322007)))**((-0.01687403691606318) - (-0.07139239304626815)),-3817.313677936877
1,65,(x0) / ((0.5901426064741858) - (x0)),-2712.38269776329
1,66,(abs(1.6908872733832057)**(x0)) / ((-1.3458798234610645) - (0.7318783483665097)),-1310.513408011497
1,67,(abs(x0)**(x0)) / ((abs(-0.04754302777467602)**(-0.6852242192913395)) * (x0)),-5218.202167544174
1,68,abs(0.4145570874645858)**(abs((x0) + (0.9817183212378326))**(-0.9339200377690821)),-2326.868259288367
1,69,((0.031436510745846816) / (x0)) - ((x0) + (((x0) * (-1.35408372581057)) - (x0))),-2521.5923902208615
1,70,(((x0) * (x0)) - (x0)) / (abs(-1.130532905774969)**(x0)),-3382.8924935168043
1,71,abs((abs((-0.0752700597030161) - (-0.33247840430791764))**(-0.6569340187477586)) * (x0))**(0.6547511739736904),429.3793315592788
1,72,((x0) / (0.2714544817496763)) / ((abs(0.3430971211997118)**(-0.27390009596854065)) * ((x0) / (x0))),-890.5108482346935
1,73,(x0) - (x0),-inf
1,74,(abs((0.5641635753186269) - (-1.1233203273429242))**(0.5143983874921001)) * ((x0) * (2.0998453836969504)),-890.5106811885545
1,75,((-0.7136693283962469) * (x0)) * ((x0) * (x0)),-6887.274079867311
1,76,((abs(-0.520819931586556)**(x0)) - (x0)) + (abs(-0.09679302745766785)**((0.8245436472342947) / (0.12343600759260681))),-2368.3207592943613
1,77,((-0.582871407392392) * (x0)) - (-0.8090575263024713),-2614.2968976599705
1,78,(x0) * (2.636319358476761),-911.9315256913914
1,79,0.8499688024883415,-2604.652968826962
1,80,((0.4190011817118808) * (x0)) + ((x0) - (-0.17321674436532547)),258.36448529088443
1,81,((x0) * (x0)) * ((-2.7407594614708755) / (x0)),-890.5482135562017
1,82,(((-0.36207150585460207) - (0.41022510622104336)) + (-0.07773859111948594)) / ((x0) / (x0)),-2604.653077608094
1,83,(x0) / (x0),-2629.7469217188927
1,84,(abs(x0)**(x0)) + ((x0) - (0.5330210758159606)),-1918.1587421923177
1,85,abs(abs(0.5048224458690164)**(-0.8288530944437659))**((x0) - (1.3023219165032345)),-1301.4257328173107
1,86,((x0) / (0.31207214538740463)) / (abs(((-0.832657498726688) / (-0.6345647835152252)) * (0.9390473428644356))**(x0)),-629.6671118555952
1,87,((x0) / ((1.4914715255367375) + (x0))) * ((-2.731101942850052) + (-3.2285442010094725)),-129.6381954684213
1,88,(abs(1.1990320621238095)**((0.14057653365542608) * (-0.04126962539786716))) - (((x0) / (0.5575871883539238)) - (-1.2688779339725293)),-558.2273232730965
1,89,abs((0.25663573006385526) + (0.12494129787882108))**(abs((x0) + (0.9673544129990084))**(-0.9923021261221305)),-2380.310219710692
1,90,(abs(-0.04587556314404889)**(x0)) + ((abs((x0) / (x0))**(x0)) / (1.3210997067034573)),-3341.305351181775
1,91,((-1.929217410906479) / (abs((x0) * (x0))**(0.7266057411101391))) * ((x0) * (x0)),-622.8461945721069
1,92,(abs(x0)**((2.337228081798583) / (4.4077944555337725))) / (abs(x0)**(x0)),-3305.3730701475574
1,93,x0,-2584.1110134174887
1,94,(abs(x0)**(x0)) + ((x0) + (x0)),-3352.6479218522136
1,95,((x0) / (abs(x0)**(x0))) + (x0),-841.7877829137558
1,96,(abs(x0)**(x0)) / ((x0) + (x0)),-5006.851444852391
1,97,((x0) + (x0)) / ((0.8450635189051381) / (-1.0765411844034314)),-920.897452074578
1,98,(abs(-0.11649160790167568)**(0.8038567368215325)) + ((abs(x0)**(x0)) / (2.0281445665756452)),-2615.374909558902
1,99,abs(abs(((-0.10159142408506232) + (-0.13354190532103444)) / (x0))**((0.24391405750911646) * (x0)))**(-0.307391276445903),-2223.9112472662646
2,0,(-1.257189663869615) + ((0.3712250902238163) - (-0.008846316728978992)),-2651.9833937652256
2,1,(x0) / (((-0.09450516974330533) - (-0.07646560130040087)) - (abs(x0)**(0.6692191805767309))),-1159.8315086540147
2,2,(abs((x0) - (-0.7488762348557226))**(-0.6986237763728081)) * ((x0) * (3.4119189000049475)),107.51320789798115
2,3,x0,-2584.111016865965
2,4,abs((-0.29288735475840477) + (x0))**((0.34235808252347344) + (0.2280554819431449)),-1914.4682305533327
2,5,((x0) * (x0)) * ((x0) - (1.2489102137273074)),-5866.763291165361
2,6,x0,-2585.820898591873
2,7,((0.37357083162227755) * (0.4067001230633981)) + ((0.10614913679939239) + (x0)),243.83637524118745
2,8,((-2.121525329957221) / (abs(-0.21997017556051687)**(0.9121101587706324))) * ((x0) * (x0)),-4331.727226000722
2,9,x0,-2584.111013417488
2,10,x0,-2584.111017665375
2,11,((x0) * (x0)) - ((x0) * (-2.6439862283862685)),-2066.445581901844
2,12,((x0) / (0.2930871567203263)) / (abs(((0.6035103908050212) / (-0.4946738284667809)) * (-0.9723064985909493))**(x0)),-1711.336516676516
2,13,((-0.8007327498389466) * (x0)) / ((x0) / (-1.061718198691013)),-2604.656775475933
2,14,0.8305456224221627,-2605.2387353857507
2,15,((-0.01066283700354869) / (x0)) - ((-0.10262943219562715) + (((x0) * (-1.0368106063006046)) - (x0))),-1436.580613741155
2,16,abs(abs(-0.5554068583062545)**(-0.19745241442133865))**((0.21944830472669682) * (0.5882650435175815)),-2634.6352501867595
2,17,(abs(((x0) + (x0)) - (-0.7090795867389232))**(-0.5765024968490696)) * ((x0) * (3.8413925006076015)),268.1384367489468
