generation,individual_index,expression,fitness,nodes
0,78,(abs(-1.0211689484682602)**(x0)) - ((-1.2737314424251553) + (0.5108484688809036)),-0.0627032423214575,7
0,79,((-0.1760811291475213) + (1.3658731063105942)) * ((0.5122529147754369) + (abs(0.9229135972856223)**(0.013167526981835433))),-0.06301759103871983,9
0,80,(1/(-5.944392653560815)) / (abs((1/(x0)) / (x0))**(x0)),-10355.396782243903,9
0,81,1/((1/(x0)) * (1/(0.9037386826968692))),-0.6386775021098049,6
0,82,1/(1/((x0) * (x0))),-9.213170910613117,5
0,83,(1/((2.886344268093711) / (x0))) - (1/(-0.7844214694384353)),-0.12712641807576971,7
0,84,(abs(x0)**(x0)) * (abs(((x0) - (-0.5769836654367685)) - (0.721241378445841))**(-0.8484189139312173)),-19.82311132099079,11
0,85,1/((((-5.685394186623997) + (-6.5330440188400996)) + (-5.756471569407083)) + (-6.836889573020658)),-3.442417625796079,8
0,86,(1/(-204.47882407049727)) * ((abs(-21.691011512929435)**((-37.715959232430215) - (x0))) + (x0)),-3.3246972493480618,10
0,87,((abs(0.09631115171908458)**(x0)) / (1/((8.220532812706473) * (x0)))) + (x0),-0.30366392076815185,10
0,88,((abs((1.2194554224866776) * (-1.205741084963737))**(1/(-1.3380242831547566))) + (-0.5786514531347858)) + (x0),-0.639573821032194,10
0,89,abs((0.15608182438310575) / ((x0) - (-2.2979639012059287)))**(((-3.554843235796355) / (1/(0.160588348261899))) / (3.1535444173062483)),-0.06285152356529874,12
0,90,((1/(-56.58530459978644)) + (x0)) * (1/(1/((x0) / (-40.353280401860154)))),-3.591192220114844,10
0,91,(abs(x0)**(abs(-0.26732111656891094)**(2.161842546470128))) * (1/(0.5643604526400107)),-0.050941998383849954,8
0,92,((1.17054196415394) - (((x0) - (x0)) + (-0.5857767322125413))) / (abs(-1.0550683780424648)**(-0.43766005285574494)),-0.06301759103815241,11
0,93,((1.0797332587053772) * (1.4485266358220705)) + (1/((1.3995036856545593) * ((x0) + (1.2789829998600692)))),-0.08497769545956659,10
0,94,((1/(-0.41582632645034456)) + ((-0.6735845931682798) / (0.4414421206054871))) * ((-0.8985568136988182) / ((x0) + (0.9320948990753413))),-0.5790124558717562,12
0,95,abs(((x0) / ((x0) + (x0))) - (1/((x0) / (-1.6837661385134621))))**(x0),-0.06359799961920334,12
0,96,1/((abs(-0.4415425058375716)**(0.9334668900655713)) * (abs(1/(0.8510357342723452))**(1/(0.9143519267199959)))),-0.06301759103812532,10
0,97,((((1.4198420604211421) - (-0.007583949547465631)) + ((0.16703052452169612) - (-1.1914040991222001))) * (-0.6766038548976364)) / (-1.0483385825969531),-0.06301759103821286,11
0,98,1/(1/(x0)),-0.6688241748187845,3
0,99,abs(((abs(x0)**(-0.3009170289951259)) + ((-1.6662575970651765) + (x0))) - (0.8917090476491363))**(x0),-2.286122253187949,11
1,0,((x0) * (abs(0.7570029783060148)**(x0))) / (abs(-0.1339020093134264)**(abs(0.48120216042359787)**(x0))),-0.010950555672967557,11
1,1,((1.5834022878309875) + (1.2310804847212382)) - (abs(x0)**(0.01591827899550544)),-0.08421486862211039,7
1,2,1/(1/(1.798011097220212)),-0.06301759103812686,3
1,3,((x0) - (x0)) + ((3.4249947368257763) - (x0)),-0.6990852659514577,7
1,4,(1/(0.8581460409628242)) * ((0.5438048780955573) + (abs(0.9233277295979821)**(0.010645329146712398))),-0.06301759103812488,8
1,5,((4.105465131004123) + (x0)) / (abs(-0.23150563804221524)**(-0.8093587984783279)),-0.11261275453037754,7
1,6,1/(abs(x0)**(1/(x0))),-inf,5
1,7,((x0) * (0.049526511155024405)) / ((-0.5700509892749401) + (x0)),-3.0592132853884646,7
1,8,(x0) * (x0),-9.213170910613117,3
1,9,(1/(-12.064104157686906)) * (1/(1/(x0))),-3.80564639088573,6
1,10,(abs(-2.2738022813320407)**(0.714196827596664)) + ((x0) - (x0)),-0.06301759104679688,7
1,11,abs((0.7209472881645452) + (0.030082153957689012))**((x0) * (-0.9347789784956024)),-0.21775454514041848,7
1,12,(((x0) - (3.0710531126115677)) * (x0)) * (((1.2600457097349151) - (x0)) + (-0.5740433622052277)),-1.7356514722878251,11
1,13,1.7980110465294556,-0.06301759103812461,1
1,14,(abs(-0.018482701504970334)**((x0) * (x0))) / ((1/(x0)) / ((-0.6020320167209893) - (0.14922430755230245))),-3.366118545078539,12
1,15,(((0.48415866191737056) - (-0.10792657420825585)) - (-1.538984850337229)) + ((1.2939246672945492) - (x0)),-0.6990852659514576,9
1,16,((1.230144319864645) / (1/(2.14029634159392))) / ((0.1943762962744302) - ((abs(0.11656987300738406)**(-0.2488144303193348)) * (-0.7439428174961975))),-0.06301759103812496,12
1,17,((x0) - (x0)) * ((0.2665433065763263) - (0.6107927193721097)),-3.2958613259668508,7
1,18,((-1.5410578753520094) * (2.5011146559436153)) + (abs(x0)**(x0)),-101.30236915269509,7
1,19,((x0) * (x0)) + (((-3.081781207542708) - (x0)) + ((x0) * (x0))),-20.71535071404949,11
1,20,((x0) * (abs(2.1166426779841845)**(-1.300512484108274))) / (abs(-0.04368483323484132)**(abs(-0.527499547970738)**(x0))),-0.01372890705162784,11
1,21,(1/(0.6980997396988333)) * ((-0.876790276313971) / (x0)),-inf,6
1,22,abs((abs(1.045747220543248)**(x0)) / (abs(0.21480232443180394)**(1.318084380524385)))**(1/(3.5797920663325904)),-0.06268341269862056,10
1,23,(1/(-0.2535452665981413)) * (1/(1/(-0.45587726465914713))),-0.06301759103820911,6
1,24,((x0) + (-3.067162580552508)) * (abs(x0)**(x0)),-35.15306876984315,7
1,25,(1/(x0)) * ((0.14172807689547207) / (0.2266451366115927)),-inf,6
1,26,(abs(1.020367057120428)**(x0)) + ((0.26541402843424666) + (0.49959604246024236)),-0.0627032986976213,7
1,27,((0.6160999527817397) - (0.2850578536057674)) * ((x0) * (x0)),-1.3768291878445855,7
1,28,1/((1/(x0)) - (abs(-0.05944992771371593)**(15.198621195450222))),-0.6688241748187845,7
1,29,1/((1/(x0)) * (x0)),-inf,5
1,30,((0.4870043757189011) / (x0)) + (abs(x0)**(-0.07970878492856603)),-inf,7
1,31,(1/(x0)) * (1/(-0.09957674665847938)),-inf,5
1,32,1/((x0) * (-0.267011922853444)),-inf,7
1,33,((4.186230681369653) + (x0)) / (abs(-1.3236832908921148)**(4.301641014286799)),-0.11179774048631744,7
1,34,1/(abs((x0) / (x0))**(x0)),-0.699839226519337,6
1,35,((1.5424361276237057) + (1.2616856829662977)) - (abs(x0)**(0.004820634116533624)),-0.0826886861098845,7
1,36,((-1.1147296071882087) * (-1.3493484711925334)) + ((1.9208352420590542) - (x0)),-0.6990852659521267,7
1,37,1/((((0.24285328672199163) + (0.5833998545529931)) + (-0.6101071959298056)) + (0.3400238638985457)),-0.06301759103905843,8
1,38,(((-0.49570908294994276) - (0.2901576905942648)) + ((0.564378177687166) - (0.2915566530786577))) - ((-3.938040000402359) + (x0)),-0.6990852659514575,11
1,39,1/(((0.7414856081900673) - (-0.4549353827023098)) * (1/(2.151177844882324))),-0.06301759103819474,7
1,40,((1.7785598097517281) - (((x0) - (x0)) + (-1.1937946222089868))) / (1.6531323062619183),-0.06301759104482342,9
1,41,1/((-8.744383672758934) - (x0)),-3.653542016033355,5
1,42,1/((-0.3832668727877102) * (x0)),-inf,4
1,43,((x0) * (abs(-0.7443009584330759)**(x0))) / (abs(0.13778082004516046)**(abs(-0.5020783320718325)**(x0))),-0.01128191998094626,11
1,44,abs(abs(x0)**(x0))**(abs(x0)**(-1.3112649703775778)),-0.49887632561875855,7
1,45,(0.7197691850048845) - (-1.078241863768718),-0.0630175910381246,3
1,46,1/((-14.308619347758734) / (x0)),-3.72272275235828,6
1,47,1/(((0.34501401754884164) + (0.12861469269509318)) - (-0.08254174062185998)),-0.06301759103935206,6
1,48,(1/((2.8877624465651035) / (0.7585074649061878))) - (1/(-0.6513177643701812)),-0.06301759103839978,7
1,49,1/(-9.521321437466561),-3.6845730780146266,2
1,50,((x0) + (x0)) * (1/(-8.02829577121942)),-4.962692143725844,6
1,51,((0.6371645359476794) * ((0.24215961640121408) * (x0))) - (((0.12975468026190173) * (x0)) + (-1.7580834038609723)),-0.06265251370212462,11
1,52,(abs(0.9959594597635806)**((x0) * (x0))) / (1/(1.8204309146146)),-0.06263058952530175,8
1,53,((1.3942634382116454) * (1.1446967796811627)) + (0.20200216146156733),-0.06301759103812501,5
1,54,((1/(1.0794954009157798)) * ((0.21429375095301043) * (x0))) - (((0.17397512168440202) * (x0)) + (-1.7580886273641412)),-0.06265251369837192,12
1,55,((0.6450737855663728) * (x0)) + ((0.2732688908937251) / (x0)),-inf,7
1,56,1/(((1/(4.234290732854583)) + (x0)) - ((1/(-4.291678401075779)) / ((x0) - (-3.556253935191082)))),-1.6602476311693817,12
1,57,1.798011045968056,-0.06301759103812461,1
1,58,(((x0) / (-1.2388103037904243)) - (-0.4474410323332151)) + ((1/(1.036427460738153)) + (x0)),-0.08500821092399159,10
1,59,1.7980110423350528,-0.06301759103812464,1
1,60,(1/(1/(1.7580877674710986))) - ((x0) * (-0.02453824634451469)),-0.06265251369819122,7
1,61,(1/(-1.1750267904342617)) * ((-0.35681929567126197) - (x0)),-0.48886724842463136,6
1,62,(1/(0.7596028658379929)) + ((0.5101086331145901) + (((x0) * (-0.003931351470644057)) * ((x0) * (x0)))),-0.06198933408303996,12
1,63,x0,-0.6688241748187845,1
1,64,((x0) + (1.758089245522325)) - ((x0) / (1.0251540279537474)),-0.06265251370010831,7
1,65,((0.5593082056811558) - (x0)) / ((0.9030001457742844) * (x0)),-inf,7
1,66,((3.4843668074826595) + ((-0.9358461547532865) * (x0))) / ((1.5403817175254115) / (x0)),-0.1704605817353257,9
1,67,((1.0797332587053772) * (1.4485266358220705)) + (1/(1/(1/(x0)))),-inf,8
1,68,1/(((-25.693306750546654) - ((-50.41893926777129) - (x0))) + (-26.380539512099965)),-696.4487590538555,8
1,69,(-0.9429655531359042) / (1/((-1.2316043283629594) + (-0.6751574454392563))),-0.06301759103826823,6
1,70,1/(-11.892951840252925),-3.6052971635490754,2
1,71,x0,-0.6688241748187845,1
1,72,1/((x0) + (0.3001897556083834)),-1.6725629776201445,10
1,73,(abs(x0)**(-0.5205266381229743)) - ((x0) * (x0)),-inf,7
1,74,((-0.37707968363754407) - (-0.14563503132466593)) - ((x0) / (x0)),-inf,7
1,75,((-0.7751987863583268) * (x0)) / (-0.8577687975482721),-0.6386775021098222,5
1,76,abs((0.42259939342575703) / (-0.9487728344084432))**((-0.6676648863821326) / (x0)),-inf,7
1,77,abs(((x0) / ((x0) + (0.8862928093797576))) - (1/((x0) / (-1.3677874139758897))))**(x0),-0.031072504609431954,12
