dummy,evals,expr,fitness,len
0,161,((39.393734 - log_v_k_nu) + (log_v_k_nu + (-37.595524))),-0.06317928,7
0,164,1.7981994,-0.06317927,1
0,166,1.7981997,-0.06317927,1
0,142,(((log_v_k_nu - 98.717392) + (log_v_k_nu * (-2.4322114))) / (1 / (-0.017796842))),-0.062790275,10
0,170,1.7981873,-0.06317931,1
0,119,(abs((1 / 0.095717035)) ^ 0.25011426),-0.063179314,4
0,128,((1 / (-0.0085424576)) / ((-66.636276) + log_v_k_nu)),-0.06288467,6
0,168,((1 / 0.56796736) / (1 / (0.32026374 * 3.1889925))),-0.06317927,7
0,175,log_v_k_nu,-0.66251993,1
0,174,(abs(log_v_k_nu) ^ log_v_k_nu),-103.16772,3
0,167,(abs(1.3089402) ^ log_v_k_nu),-0.2166209,3
0,171,(abs((1 / (-0.66721803))) ^ 1.4501517),-0.063179344,4
0,139,(abs((log_v_k_nu - 4.351974)) ^ (log_v_k_nu * (1 / 2.5021431))),-0.09282346,8
0,173,(abs((0.065976106 / 0.15106733)) ^ (1 / log_v_k_nu)),-1.654545,6
0,179,(abs((log_v_k_nu / 0.46844706)) ^ log_v_k_nu),-15075.36,5
0,177,(abs(log_v_k_nu) ^ (-0.058945213)),-3.4028235e+38,3
0,176,(1 / ((-0.76704067) - (abs(log_v_k_nu) ^ 0.70297742))),-5.3476744,6
0,183,((1 / (log_v_k_nu * (-0.33321747))) / (84.873322 + log_v_k_nu)),-3.4028235e+38,8
0,182,((1 / log_v_k_nu) + (-2.2486734)),-3.4028235e+38,4
0,181,((1 / (1 / 135.00537)) - ((log_v_k_nu * log_v_k_nu) - (-129.97763))),-6.700153,9
0,184,((log_v_k_nu + (-1.3139572)) / (1 / log_v_k_nu)),-3.377924,6
0,185,(35.824623 + (-34.026413)),-0.06317928,3
0,190,(1 / 0.55611181),-0.06317927,2
0,189,((1 / log_v_k_nu) / (2.2977731 + (-0.72018015))),-3.4028235e+38,6
0,192,log_v_k_nu,-0.66251993,1
0,191,(abs(log_v_k_nu) ^ log_v_k_nu),-103.16772,3
0,193,(log_v_k_nu / (-3048.7952)),-3.2986245,3
0,180,((-0.93650889) / (-0.52080363)),-0.06317927,3
0,194,((abs((-1.0106215)) ^ (-0.70707124)) / 0.55189604),-0.0631794,5
0,178,(1 / (-2268.3369)),-3.2982864,2
0,187,(abs((1 / 0.76395124)) ^ log_v_k_nu),-0.21662089,4
0,160,(1 / ((1 / (68.923248 + log_v_k_nu)) * (1 / ((-3.7662063) / (-147.74933))))),-0.06279028,10
0,188,(((-3.3702846) * 3.1889925) - (abs(0.01173361) ^ 2.4687011)),-157.466,7
0,169,(abs((1 / (-0.9145602))) ^ (log_v_k_nu * log_v_k_nu)),-0.38950616,6
0,195,((1 / 0.83157545) - (abs(log_v_k_nu) ^ log_v_k_nu)),-125.49947,6
0,196,((1 / 0.55611187) - (abs(47.696774) ^ (-2254.4592))),-0.06317929,6
