dummy,evals,expr,fitness
0,54,((abs((((0.43211898 + (0.84970039 * log_v_k_nu)) * (((-1.1018797) * log_v_k_nu) + 1.1258941)) * (((0.11126265 * log_v_k_nu) * (0.25013444 * log_v_k_nu)) + ((1.1133126 * log_v_k_nu) * (-0.40085107))))) ^ (((((-0.71402675) * log_v_k_nu) - ((-0.77520257) * log_v_k_nu)) * 1 / ((-1.81153))) - ((-1.2697675) * 0.062233027))) * (abs((((0.11048725 * log_v_k_nu) * 0.12453217) + 1 / (((-0.83645391) * log_v_k_nu)))) ^ (((-1.4941881) - ((-1.5581052) * log_v_k_nu)) + (((-0.41200489) * log_v_k_nu) + (0.46009305 * log_v_k_nu))))),-1.7537507
0,55,((abs((((1.1855978 + (-0.091436274)) - 1 / (((-0.99263728) * log_v_k_nu))) / (1 / ((-1.0681168)) / ((-1.5251805) + 1.1005547)))) ^ (((((-0.89919758) * log_v_k_nu) - 0.96997023) - (abs(((-0.3852886) * log_v_k_nu)) ^ ((-0.091290399) * log_v_k_nu))) + (((0.41680804 * log_v_k_nu) - (1.8742183 * log_v_k_nu)) * ((0.3361297 * log_v_k_nu) * ((-1.8924757) * log_v_k_nu))))) - ((((abs((-2.4270391)) ^ (-2.336293)) * ((-0.42515543) * log_v_k_nu)) - (((-0.51544106) * log_v_k_nu) - (1.6095691 * log_v_k_nu))) * (((-0.973867) + 1.4080616) * ((0.6444729 * log_v_k_nu) / 0.68118095)))),-22.150574
0,56,((((((-0.86329561) - 1.56013) * (((-0.77604902) * log_v_k_nu) - (0.15964338 * log_v_k_nu))) - ((0.051576544 * log_v_k_nu) / ((-0.33516416) * log_v_k_nu))) - 1 / (1 / (0.57482207))) / (((1.406881 / ((-0.2925972) * log_v_k_nu)) * (abs((-0.23149051)) ^ (-0.31684363))) * ((((-0.075031407) * log_v_k_nu) * (0.68855798 * log_v_k_nu)) * (abs((-0.63708502)) ^ ((-0.96239811) * log_v_k_nu))))),-3.4028235e+38
0,57,(((abs((abs(((0.13243082 * log_v_k_nu) - (-2.2223101))) ^ ((-1.6405883) * log_v_k_nu))) ^ 1 / ((-0.6178118))) / ((abs((-1.2117621)) ^ 0.56909674) * (abs((-0.73603314)) ^ (-1.2448702)))) * (((0.40592289 + ((-0.13317326) * log_v_k_nu)) / 1 / (((-0.90464544) * log_v_k_nu))) - ((1.7267927 + (-0.12342596)) / (0.93618608 * 0.49759808)))),-4464858.5
0,58,((abs(1 / (((0.87126505 * log_v_k_nu) * ((-0.50712556) * log_v_k_nu)))) ^ (((-1.6073036) + 0.17200042) + (abs(((-3.1048508) * log_v_k_nu)) ^ (-0.027707275)))) - 1 / (1 / (((-0.18771516) / ((-0.55396652) * log_v_k_nu))))),-3.4028235e+38
0,59,(((((((-0.41013709) * log_v_k_nu) / (1.224275 * log_v_k_nu)) / (((-0.86018175) * log_v_k_nu) / 2.5296555)) - (abs(((-0.43481028) * ((-0.068070896) * log_v_k_nu))) ^ (abs(((-0.8757301) * log_v_k_nu)) ^ (-1.4225976)))) - (1 / (((-0.95441401) + (-0.36365411))) / ((((-2.095094) * log_v_k_nu) / ((-0.95744836) * log_v_k_nu)) * ((0.4390485 * log_v_k_nu) * (0.87689131 * log_v_k_nu))))) - ((((abs((-0.5716086)) ^ (-0.51428449)) * (abs((-0.33907819)) ^ (-1.1354088))) / (abs(((-0.43562427) - (-1.9214046))) ^ 0.085226789)) * (((-0.2280941) + ((-0.71397287) * log_v_k_nu)) + ((-0.21229096) - (-0.51519752))))),-3.4028235e+38
0,60,(abs(1 / (((((1.1891992 * log_v_k_nu) / 0.54135048) + (0.047763474 * 0.81901616)) - (abs(1 / (((-0.88623935) * log_v_k_nu))) ^ (abs(0.13049121) ^ (2.3616278 * log_v_k_nu)))))) ^ (((abs(((1.0769255 * log_v_k_nu) - ((-0.39454669) * log_v_k_nu))) ^ ((-0.85469884) * ((-0.37800971) * log_v_k_nu))) + (1 / (((-0.39461827) * log_v_k_nu)) * (((-0.59485471) * log_v_k_nu) - 0.50982016))) - ((((-0.1114799) * 1.1816993) / ((-1.0577846) - (-0.33649483))) * (((-1.1161033) * log_v_k_nu) - (0.20235096 * log_v_k_nu))))),-442643120000000
0,61,(((((abs(0.35038766) ^ ((-1.434936) * log_v_k_nu)) * ((0.25379261 * log_v_k_nu) - (0.075846441 * log_v_k_nu))) - (abs((((-0.7746917) * log_v_k_nu) / ((-0.19184631) * log_v_k_nu))) ^ ((-0.54047376) + 1.8475248))) * ((1 / (0.29245698) / ((-0.65353411) - 1.098629)) * ((abs(0.073393002) ^ (-0.16872002)) * (((-0.21417834) * log_v_k_nu) - 2.6147263)))) + (((abs(1 / (((-0.65196955) * log_v_k_nu))) ^ ((-0.20770404) * log_v_k_nu)) + ((2.1347187 * log_v_k_nu) / (-1.2966983))) / (1 / (0.83930391) + (1.0885457 - 1.913898)))),-3.4028235e+38
0,62,(1 / ((1 / (1 / (1.0430048)) - ((0.1999803 / (1.837021 * log_v_k_nu)) / (0.60312372 / (0.65578771 * log_v_k_nu))))) * ((1 / ((((-1.3788877) * log_v_k_nu) / (-1.2098931))) + (((1.8001379 * log_v_k_nu) * 0.70028055) + (((-0.38209897) * log_v_k_nu) - ((-1.3102627) * log_v_k_nu)))) / (((((-0.96667022) * log_v_k_nu) + (0.21600439 * log_v_k_nu)) - 1 / ((-0.58175635))) + ((0.081215434 * log_v_k_nu) / ((-0.40880838) * log_v_k_nu))))),-3.4028235e+38
0,63,((abs(((-1.6762085) / (0.32513618 * log_v_k_nu))) ^ (-0.31834877)) - 1 / ((0.67874932 * log_v_k_nu))),-3.4028235e+38
